제목,가격,e북가격,연도,등수
서울 보통 시 (서울 사람의 보통 이야기),"15,390", ,2024.01.24.,시/에세이 37위
"슬퍼하지 말아요, 곧 밤이 옵니다 (헤르만 헤세 시 필사집)","16,930","14,256",2024.01.20.,시/에세이 88위
꽃이 사람이다 (꽃 내음 그윽한 풀꽃문학관 편지),"14,540", ,2024.01.30.,시/에세이 46위
오래 보고 싶었다 (내일 더 빛날 당신을 위한 위로),"14,540","10,800",2023.10.05.,시/에세이 124위
내가 생각한 인생이 아니야 (인생의 가장 큰 선물은 다른 인생),"16,200","11,340",2023.12.21.,시/에세이 11위
촉진하는 밤 (김소연 시집),"10,260", ,2023.09.14.,시/에세이 146위
보편의 단어 (당신의 삶을 떠받치고 당신을 살아가게 하는),"13,680","10,530",2024.01.11.,시/에세이 8위
새벽과 음악,"16,200", ,2024.01.25.,시/에세이 22위
사랑인 줄 알았는데 부정맥 (노인들의 일상을 유쾌하게 담다),"11,970", ,2024.01.17.,시/에세이 3위
보통 이하의 것들,"18,810", ,2023.12.31.,시/에세이 114위
"읽을, 거리 (김민정의 1월)","12,830","9,450",2024.01.01.,시/에세이 104위
2024 신춘문예 당선시집,"11,970", ,2024.01.15.,시/에세이 144위
내가 한 말을 내가 오해하지 않기로 함 (빠더너스 문상훈 책),"16,930", ,2024.01.05.,시/에세이 7위
세상을 받아들이는 방식,"13,680","10,080",2024.01.02.,시/에세이 121위
정신머리 (박참새 시집),"10,260","7,560",2023.12.15.,시/에세이 43위
그대는 나의 여름이 되세요 (서덕준 시선집),"14,540","10,710",2023.12.14.,시/에세이 54위
별의 길 (양세형 시집),"11,800","8,730",2023.12.04.,시/에세이 30위
"푸바오, 언제나 사랑해","20,700", ,2024.01.15.,시/에세이 2위
꽃을 보듯 너를 본다 (나태주 시집),"9,410", ,2020.11.30.,시/에세이 27위
너무 잘하려고 애쓰지 마라 (나태주 시집),"11,970", ,2022.05.31.,시/에세이 125위
하는 일마다 잘되리라 (당신이 어디에 있든 무엇을 하든),"16,200","11,340",2023.11.13.,시/에세이 10위
겨울의 언어 (김겨울 산문집),"15,820","11,700",2023.11.10.,시/에세이 138위
듣는 사람,"15,390","11,340",2024.01.15.,시/에세이 56위
마음챙김의 시,"6,180","8,550",2020.09.17.,시/에세이 101위
고통 없는 사랑은 없다 (정호승의 시가 있는 산문집),"16,920", ,2024.01.29.,시/에세이 16위
까다롭게 좋아하는 사람,"12,830", ,2024.01.20.,시/에세이 42위
사랑을 무게로 안 느끼게 (박완서 에세이),"16,200","12,960",2024.01.23.,시/에세이 5위
선릉과 정릉 (전욱진의 2월),"13,500", ,2024.02.01.,시/에세이 140위
내가 아직 쓰지 않은 것 (문학동네시인선 001~199 시인의 말 모음집),"2,570", ,2023.10.16.,시/에세이 79위
지금 알고 있는 걸 그때도 알았더라면 (잠언 시집),"8,550","6,300",2014.12.03.,시/에세이 139위
이해인의 햇빛 일기 (작은 위로가 필요한 아픈 이들을 위하여),"13,680","5,600",2023.10.16.,시/에세이 150위
바다는 잘 있습니다 (이병률 시집),"10,260","5,670",2017.09.20.,시/에세이 112위
